Região Habilitação Atual;UF Habilitação Atual;Sexo;Faixa Etária;Categoria;Qt. Condutor Histórico
Centro-Oeste;Goiás;Masculino;41 a 50;D-Condutor Ônibus;16167
Centro-Oeste;Goiás;Masculino;41 a 50;E-Condutor Carreta;7631
Centro-Oeste;Goiás;Masculino;51 a 60;A-Condutor Moto;8952
Centro-Oeste;Goiás;Masculino;51 a 60;AB-Condutor Moto/Carro;81246
Centro-Oeste;Goiás;Masculino;51 a 60;AC-Condutor Moto/Caminhão;13613
Centro-Oeste;Goiás;Masculino;51 a 60;AD-Condutor Moto/Ônibus;31818
Centro-Oeste;Goiás;Masculino;51 a 60;AE-Condutor Moto/Carreta;10797
Centro-Oeste;Goiás;Masculino;51 a 60;B-Condutor Carro;72909
Centro-Oeste;Goiás;Masculino;51 a 60;C-Condutor Caminhão;10529
Centro-Oeste;Goiás;Masculino;51 a 60;D-Condutor Ônibus;22361
Centro-Oeste;Goiás;Masculino;51 a 60;E-Condutor Carreta;7712
Centro-Oeste;Goiás;Masculino;51 a 60;XC-Condutor Ciclomotor/Caminhão;1
Centro-Oeste;Goiás;Masculino;61 a 70;A-Condutor Moto;3593
Centro-Oeste;Goiás;Masculino;61 a 70;AB-Condutor Moto/Carro;31389
Centro-Oeste;Goiás;Masculino;61 a 70;AC-Condutor Moto/Caminhão;6618
Centro-Oeste;Goiás;Masculino;61 a 70;AD-Condutor Moto/Ônibus;11713
Centro-Oeste;Goiás;Masculino;61 a 70;AE-Condutor Moto/Carreta;3295
Centro-Oeste;Goiás;Masculino;61 a 70;B-Condutor Carro;63848
Centro-Oeste;Goiás;Masculino;61 a 70;C-Condutor Caminhão;12888
Centro-Oeste;Goiás;Masculino;61 a 70;D-Condutor Ônibus;18965
Centro-Oeste;Goiás;Masculino;61 a 70;E-Condutor Carreta;5566
Centro-Oeste;Goiás;Masculino;71 a 80;A-Condutor Moto;1123
Centro-Oeste;Goiás;Masculino;71 a 80;AB-Condutor Moto/Carro;11182
Centro-Oeste;Goiás;Masculino;71 a 80;AC-Condutor Moto/Caminhão;1311
Centro-Oeste;Goiás;Masculino;71 a 80;AD-Condutor Moto/Ônibus;2269
Centro-Oeste;Goiás;Masculino;71 a 80;AE-Condutor Moto/Carreta;307
Centro-Oeste;Goiás;Masculino;71 a 80;B-Condutor Carro;43812
Centro-Oeste;Goiás;Masculino;71 a 80;C-Condutor Caminhão;5673
Centro-Oeste;Goiás;Masculino;71 a 80;D-Condutor Ônibus;7614
Centro-Oeste;Goiás;Masculino;71 a 80;E-Condutor Carreta;1226
Centro-Oeste;Goiás;Masculino;81 a 90;A-Condutor Moto;248
Centro-Oeste;Goiás;Masculino;81 a 90;AB-Condutor Moto/Carro;2544
Centro-Oeste;Goiás;Masculino;81 a 90;AC-Condutor Moto/Caminhão;201
