Região Habilitação Atual;UF Habilitação Atual;Sexo;Faixa Etária;Categoria;Qt. Condutor Histórico
Centro-Oeste;Distrito Federal;Feminino;31 a 40;AE-Condutor Moto/Carreta;47
Centro-Oeste;Distrito Federal;Feminino;31 a 40;B-Condutor Carro;156751
Centro-Oeste;Distrito Federal;Feminino;31 a 40;C-Condutor Caminhão;1
Centro-Oeste;Distrito Federal;Feminino;31 a 40;D-Condutor Ônibus;839
Centro-Oeste;Distrito Federal;Feminino;31 a 40;E-Condutor Carreta;19
Centro-Oeste;Distrito Federal;Feminino;41 a 50;A-Condutor Moto;721
Centro-Oeste;Distrito Federal;Feminino;41 a 50;AB-Condutor Moto/Carro;15945
Centro-Oeste;Distrito Federal;Feminino;41 a 50;AC-Condutor Moto/Caminhão;8
Centro-Oeste;Distrito Federal;Feminino;41 a 50;AD-Condutor Moto/Ônibus;849
Centro-Oeste;Distrito Federal;Feminino;41 a 50;AE-Condutor Moto/Carreta;69
Centro-Oeste;Distrito Federal;Feminino;41 a 50;B-Condutor Carro;166229
Centro-Oeste;Distrito Federal;Feminino;41 a 50;C-Condutor Caminhão;8
Centro-Oeste;Distrito Federal;Feminino;41 a 50;D-Condutor Ônibus;1579
Centro-Oeste;Distrito Federal;Feminino;41 a 50;E-Condutor Carreta;36
Centro-Oeste;Distrito Federal;Feminino;41 a 50;XB-Condutor Ciclomotor/Carro;1
Centro-Oeste;Distrito Federal;Feminino;51 a 60;A-Condutor Moto;209
Centro-Oeste;Distrito Federal;Feminino;51 a 60;AB-Condutor Moto/Carro;5434
Centro-Oeste;Distrito Federal;Feminino;51 a 60;AC-Condutor Moto/Caminhão;46
Centro-Oeste;Distrito Federal;Feminino;51 a 60;AD-Condutor Moto/Ônibus;399
Centro-Oeste;Distrito Federal;Feminino;51 a 60;AE-Condutor Moto/Carreta;33
Centro-Oeste;Distrito Federal;Feminino;51 a 60;B-Condutor Carro;107331
Centro-Oeste;Distrito Federal;Feminino;51 a 60;C-Condutor Caminhão;90
Centro-Oeste;Distrito Federal;Feminino;51 a 60;D-Condutor Ônibus;1306
Centro-Oeste;Distrito Federal;Feminino;51 a 60;E-Condutor Carreta;19
Centro-Oeste;Distrito Federal;Feminino;61 a 70;A-Condutor Moto;18
Centro-Oeste;Distrito Federal;Feminino;61 a 70;AB-Condutor Moto/Carro;1640
Centro-Oeste;Distrito Federal;Feminino;61 a 70;AC-Condutor Moto/Caminhão;18
Centro-Oeste;Distrito Federal;Feminino;61 a 70;AD-Condutor Moto/Ônibus;86
Centro-Oeste;Distrito Federal;Feminino;61 a 70;AE-Condutor Moto/Carreta;8
Centro-Oeste;Distrito Federal;Feminino;61 a 70;B-Condutor Carro;64225
Centro-Oeste;Distrito Federal;Feminino;61 a 70;C-Condutor Caminhão;60
Centro-Oeste;Distrito Federal;Feminino;61 a 70;D-Condutor Ônibus;481
Centro-Oeste;Distrito Federal;Feminino;61 a 70;E-Condutor Carreta;12
Centro-Oeste;Distrito Federal;Feminino;71 a 80;A-Condutor Moto;2
Centro-Oeste;Distrito Federal;Feminino;71 a 80;AB-Condutor Moto/Carro;237
Centro-Oeste;Distrito Federal;Feminino;71 a 80;AC-Condutor Moto/Caminhão;1
Centro-Oeste;Distrito Federal;Feminino;71 a 80;AD-Condutor Moto/Ônibus;8
Centro-Oeste;Distrito Federal;Feminino;71 a 80;AE-Condutor Moto/Carreta;3
Centro-Oeste;Distrito Federal;Feminino;71 a 80;B-Condutor Carro;31433
Centro-Oeste;Distrito Federal;Feminino;71 a 80;C-Condutor Caminhão;20
Centro-Oeste;Distrito Federal;Feminino;71 a 80;D-Condutor Ônibus;116
Centro-Oeste;Distrito Federal;Feminino;71 a 80;E-Condutor Carreta;1
Centro-Oeste;Distrito Federal;Feminino;81 a 90;AB-Condutor Moto/Carro;22
Centro-Oeste;Distrito Federal;Feminino;81 a 90;AD-Condutor Moto/Ônibus;2
Centro-Oeste;Distrito Federal;Feminino;81 a 90;B-Condutor Carro;10267
Centro-Oeste;Distrito Federal;Feminino;81 a 90;C-Condutor Caminhão;5
Centro-Oeste;Distrito Federal;Feminino;81 a 90;D-Condutor Ônibus;27
Centro-Oeste;Distrito Federal;Feminino;91 a 100;AB-Condutor Moto/Carro;6
Centro-Oeste;Distrito Federal;Feminino;91 a 100;B-Condutor Carro;2253
Centro-Oeste;Distrito Federal;Feminino;91 a 100;C-Condutor Caminhão;1
Centro-Oeste;Distrito Federal;Feminino;91 a 100;D-Condutor Ônibus;3
Centro-Oeste;Distrito Federal;Feminino;101 a 120;B-Condutor Carro;201
Centro-Oeste;Distrito Federal;Feminino;101 a 120;E-Condutor Carreta;1
Centro-Oeste;Goiás;Masculino;18 a 21;A-Condutor Moto;1248
Centro-Oeste;Goiás;Masculino;18 a 21;AB-Condutor Moto/Carro;49817
Centro-Oeste;Goiás;Masculino;18 a 21;AC-Condutor Moto/Caminhão;229
Centro-Oeste;Goiás;Masculino;18 a 21;AD-Condutor Moto/Ônibus;152
Centro-Oeste;Goiás;Masculino;18 a 21;AE-Condutor Moto/Carreta;23
Centro-Oeste;Goiás;Masculino;18 a 21;B-Condutor Carro;16493
Centro-Oeste;Goiás;Masculino;18 a 21;C-Condutor Caminhão;45
Centro-Oeste;Goiás;Masculino;18 a 21;D-Condutor Ônibus;10
Centro-Oeste;Goiás;Masculino;18 a 21;E-Condutor Carreta;1
Centro-Oeste;Goiás;Masculino;22 a 25;A-Condutor Moto;3496
Centro-Oeste;Goiás;Masculino;22 a 25;AB-Condutor Moto/Carro;92413
Centro-Oeste;Goiás;Masculino;22 a 25;AC-Condutor Moto/Caminhão;436
Centro-Oeste;Goiás;Masculino;22 a 25;AD-Condutor Moto/Ônibus;4078
Centro-Oeste;Goiás;Masculino;22 a 25;AE-Condutor Moto/Carreta;746
Centro-Oeste;Goiás;Masculino;22 a 25;B-Condutor Carro;27904
Centro-Oeste;Goiás;Masculino;22 a 25;C-Condutor Caminhão;66
Centro-Oeste;Goiás;Masculino;22 a 25;D-Condutor Ônibus;339
Centro-Oeste;Goiás;Masculino;22 a 25;E-Condutor Carreta;68
Centro-Oeste;Goiás;Masculino;26 a 30;A-Condutor Moto;6840
Centro-Oeste;Goiás;Masculino;26 a 30;AB-Condutor Moto/Carro;141030
Centro-Oeste;Goiás;Masculino;26 a 30;AC-Condutor Moto/Caminhão;691
Centro-Oeste;Goiás;Masculino;26 a 30;AD-Condutor Moto/Ônibus;12750
Centro-Oeste;Goiás;Masculino;26 a 30;AE-Condutor Moto/Carreta;3394
Centro-Oeste;Goiás;Masculino;26 a 30;B-Condutor Carro;38429
Centro-Oeste;Goiás;Masculino;26 a 30;C-Condutor Caminhão;86
Centro-Oeste;Goiás;Masculino;26 a 30;D-Condutor Ônibus;968
Centro-Oeste;Goiás;Masculino;26 a 30;E-Condutor Carreta;237
Centro-Oeste;Goiás;Masculino;31 a 40;A-Condutor Moto;18396
Centro-Oeste;Goiás;Masculino;31 a 40;AB-Condutor Moto/Carro;270158
Centro-Oeste;Goiás;Masculino;31 a 40;AC-Condutor Moto/Caminhão;2635
Centro-Oeste;Goiás;Masculino;31 a 40;AD-Condutor Moto/Ônibus;53918
Centro-Oeste;Goiás;Masculino;31 a 40;AE-Condutor Moto/Carreta;22056
Centro-Oeste;Goiás;Masculino;31 a 40;B-Condutor Carro;72028
Centro-Oeste;Goiás;Masculino;31 a 40;C-Condutor Caminhão;354
Centro-Oeste;Goiás;Masculino;31 a 40;D-Condutor Ônibus;5072
Centro-Oeste;Goiás;Masculino;31 a 40;E-Condutor Carreta;1753
Centro-Oeste;Goiás;Masculino;31 a 40;XB-Condutor Ciclomotor/Carro;1
Centro-Oeste;Goiás;Masculino;41 a 50;A-Condutor Moto;15122
Centro-Oeste;Goiás;Masculino;41 a 50;AB-Condutor Moto/Carro;197056
Centro-Oeste;Goiás;Masculino;41 a 50;AC-Condutor Moto/Caminhão;6611
Centro-Oeste;Goiás;Masculino;41 a 50;AD-Condutor Moto/Ônibus;58405
Centro-Oeste;Goiás;Masculino;41 a 50;AE-Condutor Moto/Carreta;28311
Centro-Oeste;Goiás;Masculino;41 a 50;B-Condutor Carro;82806
Centro-Oeste;Goiás;Masculino;41 a 50;C-Condutor Caminhão;2488
Centro-Oeste;Goiás;Masculino;41 a 50;D-Condutor Ônibus;13270
Centro-Oeste;Goiás;Masculino;41 a 50;E-Condutor Carreta;7082
Centro-Oeste;Goiás;Masculino;51 a 60;A-Condutor Moto;10404
Centro-Oeste;Goiás;Masculino;51 a 60;AB-Condutor Moto/Carro;112961
Centro-Oeste;Goiás;Masculino;51 a 60;AC-Condutor Moto/Caminhão;11505
Centro-Oeste;Goiás;Masculino;51 a 60;AD-Condutor Moto/Ônibus;39195
Centro-Oeste;Goiás;Masculino;51 a 60;AE-Condutor Moto/Carreta;15182
Centro-Oeste;Goiás;Masculino;51 a 60;B-Condutor Carro;78368
Centro-Oeste;Goiás;Masculino;51 a 60;C-Condutor Caminhão;6464
Centro-Oeste;Goiás;Masculino;51 a 60;D-Condutor Ônibus;20061
Centro-Oeste;Goiás;Masculino;51 a 60;E-Condutor Carreta;7871
Centro-Oeste;Goiás;Masculino;51 a 60;XC-Condutor Ciclomotor/Caminhão;1
Centro-Oeste;Goiás;Masculino;61 a 70;A-Condutor Moto;5101
Centro-Oeste;Goiás;Masculino;61 a 70;AB-Condutor Moto/Carro;51847
Centro-Oeste;Goiás;Masculino;61 a 70;AC-Condutor Moto/Caminhão;8572
Centro-Oeste;Goiás;Masculino;61 a 70;AD-Condutor Moto/Ônibus;16856
Centro-Oeste;Goiás;Masculino;61 a 70;AE-Condutor Moto/Carreta;5750
Centro-Oeste;Goiás;Masculino;61 a 70;B-Condutor Carro;74323
Centro-Oeste;Goiás;Masculino;61 a 70;C-Condutor Caminhão;11813
Centro-Oeste;Goiás;Masculino;61 a 70;D-Condutor Ônibus;19420
Centro-Oeste;Goiás;Masculino;61 a 70;E-Condutor Carreta;6982
Centro-Oeste;Goiás;Masculino;71 a 80;A-Condutor Moto;1772
Centro-Oeste;Goiás;Masculino;71 a 80;AB-Condutor Moto/Carro;19049
Centro-Oeste;Goiás;Masculino;71 a 80;AC-Condutor Moto/Caminhão;2020
Centro-Oeste;Goiás;Masculino;71 a 80;AD-Condutor Moto/Ônibus;3631
Centro-Oeste;Goiás;Masculino;71 a 80;AE-Condutor Moto/Carreta;792
Centro-Oeste;Goiás;Masculino;71 a 80;B-Condutor Carro;57899
